iter	RMSE
0	11576.49743
1	11221.45671
2	10840.00878
3	10432.97589
4	10071.93329
5	9743.689524
6	9433.381764
7	9122.68206
8	8825.613257
9	8569.133912
10	8320.568343
11	8121.579653
12	7882.226695
13	7678.79511
14	7482.639023
15	7286.146234
16	7115.233804
17	6948.694527
18	6787.965411
19	6636.962743
20	6505.543539
21	6358.71089
22	6239.316004
23	6120.474338
24	6012.476571
25	5909.365289
26	5816.07551
27	5728.134757
28	5645.568906
29	5556.185408
30	5481.581112
31	5418.27559
32	5358.836117
33	5294.013233
34	5247.916225
35	5195.763987
36	5147.171437
37	5101.917657
38	5059.358756
39	5026.808601
40	4984.629541
41	4949.350546
42	4920.344816
43	4887.937813
44	4863.510324
45	4834.126303
46	4804.966146
47	4777.765215
48	4748.911483
49	4722.427453
50	4697.615596
51	4675.704873
52	4655.093175
53	4637.945911
54	4621.690541
55	4603.210192
56	4588.304234
57	4572.456426
58	4559.465886
59	4547.718684
60	4534.186855
61	4525.3508
62	4512.655632
63	4500.318596
64	4492.811611
65	4479.422913
66	4470.430533
67	4460.957113
68	4450.784056
69	4440.774875
70	4431.466047
71	4421.042737
72	4417.413766
73	4408.638656
74	4399.442393
75	4384.956235
76	4379.447167
77	4372.482964
78	4366.138195
79	4360.376982
80	4353.162658
81	4350.246023
82	4344.161238
83	4335.290653
84	4327.005263
85	4322.057983
86	4316.587158
87	4309.843521
88	4303.889285
89	4298.652553
90	4294.263269
91	4290.730925
92	4285.514211
93	4281.034663
94	4276.77138
95	4269.263073
96	4265.194752
97	4262.323561
98	4257.620187
99	4251.801292
