iter	Passed	Remaining
0	2	231
1	4	210
2	6	200
3	7	179
4	9	178
5	11	177
6	13	177
7	14	166
8	15	160
9	17	159
10	19	159
11	21	158
12	23	159
13	25	158
14	27	157
15	29	155
16	31	153
17	32	147
18	34	146
19	36	144
20	38	143
21	40	142
22	41	140
23	43	139
24	45	137
25	48	137
26	50	135
27	52	134
28	54	132
29	56	130
30	57	129
31	59	127
32	61	125
33	63	124
34	65	122
35	67	120
36	70	119
37	71	117
38	73	115
39	74	111
40	76	109
41	77	107
42	79	105
43	81	104
44	82	101
45	84	99
46	86	97
47	88	96
48	90	94
49	93	93
50	95	91
51	97	89
52	99	88
53	101	86
54	103	84
55	105	82
56	107	80
57	109	79
58	111	77
59	112	75
60	115	73
61	116	71
62	118	69
63	120	67
64	122	65
65	124	64
66	126	62
67	128	60
68	133	59
69	135	58
70	138	56
71	140	54
72	142	52
73	144	50
74	146	48
75	148	46
76	150	44
77	152	42
78	154	40
79	156	39
80	157	37
81	159	34
82	161	33
83	163	31
84	165	29
85	167	27
86	169	25
87	171	23
88	173	21
89	175	19
90	177	17
91	178	15
92	180	13
93	182	11
94	184	9
95	186	7
96	188	5
97	190	3
98	192	1
99	194	0
